Order Date,Sales,Product,Category
2023-01-15,250.50,Office Chair,Furniture
2023-01-22,180.75,Desk Lamp,Furniture
2023-01-28,450.00,Bookcase,Furniture
2023-02-05,320.25,Printer,Technology
2023-02-12,175.50,Paper,Office Supplies
2023-02-18,520.00,Monitor,Technology
2023-02-25,210.00,Binders,Office Supplies
2023-03-03,380.75,Phone,Technology
2023-03-10,295.50,Storage,Furniture
2023-03-17,165.00,Art,Office Supplies
2023-03-24,485.25,Accessories,Technology
2023-03-31,195.00,Envelopes,Office Supplies
2023-04-07,340.50,Table,Furniture
2023-04-14,275.00,Appliances,Technology
2023-04-21,225.75,Labels,Office Supplies
2023-04-28,510.00,Machines,Technology
2023-05-05,195.50,Fasteners,Office Supplies
2023-05-12,365.00,Chairs,Furniture
2023-05-19,245.25,Phones,Technology
2023-05-26,155.00,Supplies,Office Supplies
2023-06-02,425.75,Copiers,Technology
2023-06-09,285.00,Tables,Furniture
2023-06-16,205.50,Storage,Furniture
2023-06-23,535.00,Phones,Technology
2023-06-30,175.25,Art,Office Supplies
2023-07-07,390.00,Accessories,Technology
2023-07-14,260.50,Furnishings,Furniture
2023-07-21,185.75,Paper,Office Supplies
2023-07-28,445.00,Machines,Technology
2023-08-04,230.00,Binders,Office Supplies
2023-08-11,375.50,Chairs,Furniture
2023-08-18,290.25,Phones,Technology
2023-08-25,165.00,Labels,Office Supplies
2023-09-01,495.75,Copiers,Technology
2023-09-08,255.00,Tables,Furniture
2023-09-15,195.50,Storage,Furniture
2023-09-22,545.00,Accessories,Technology
2023-09-29,145.25,Art,Office Supplies
2023-10-06,380.00,Appliances,Technology
2023-10-13,270.50,Furnishings,Furniture
2023-10-20,215.75,Paper,Office Supplies
2023-11-03,460.00,Machines,Technology
2023-11-10,250.00,Binders,Office Supplies
2023-11-17,395.50,Chairs,Furniture
2023-11-24,285.25,Phones,Technology
2023-11-30,175.00,Supplies,Office Supplies
2023-12-07,520.75,Copiers,Technology
2023-12-14,265.00,Tables,Furniture
2023-12-21,190.50,Storage,Furniture
2023-12-28,555.00,Accessories,Technology
